date,session,N,A_no_filter,B_drop_1,C_drop_2,D_drop_3,E_keep_top,most_bearish,most_bearish_pred,most_bearish_real,most_bullish,most_bullish_pred,most_bullish_real
2026-04-27,MORNING_BUY,5,0.009379389149814111,0.023201417101593874,0.006876762993243764,0.023947082172436185,0.006876762993243764,003036,-0.40951000000000004,-0.045908722657304946,002115,-0.033356142151382606,0.08266860043509805
2026-04-28,EVENING_BUY,3,0.13796029697949752,,,0.15650248926486676,0.16687284328406804,002281,-0.3666165762574133,0.10087591240875904,603083,-0.1292047416785862,0.16687284328406804
2026-04-29,EVENING_BUY,5,0.11194486765147023,0.12957830301752638,0.12773958628171625,0.18143356549460044,0.12773958628171625,002384,-0.40950999999999993,0.04141112618724563,688041,-0.09854488376793336,0.23546292642680333
2026-04-29,MORNING_BUY,5,0.004715115169833561,0.004868042505582926,0.003927236999352897,0.005890855499029346,0.003927236999352897,300632,-0.24388244388255065,0.004103405826836104,002520,0.036074762759001455,0.006722689075630228
2026-05-01,MORNING_BUY,5,0.015320949224389202,0.004500459854443389,0.020044545440302135,0.004788326300984469,0.020044545440302135,603399,-0.27660438927133535,0.05860290670417245,688699,-0.09113829432251264,0.06899999999999995
2026-05-02,EVENING_BUY,5,0.10140841975693707,0.09208835946190463,0.08411353267760997,0.0995693137947401,0.08411353267760997,002281,-0.3950315284570367,0.13868866093706678,002130,0.08796466864559704,0.04605845881310899
2026-05-05,EVENING_BUY,5,0.09046584175454572,0.08407909223948501,0.0943714661715301,0.06501711486910955,0.0943714661715301,688048,-0.21946718865956905,0.1160128398147886,002130,0.09137796109708884,0.04605845881310899
2026-05-06,EVENING_BUY,5,0.08110950655839706,0.06377222820529255,0.08137120724789175,0.06726966850713578,0.08137120724789175,002384,-0.3719814785783777,0.1504586199708151,002130,0.05324958429825499,0.01852649719948296
2026-05-07,EVENING_BUY,5,0.06674519517970105,0.0398237952568499,0.007082133513198197,-0.0033896448382184086,0.007082133513198197,688048,-0.28004225173088426,0.1744307948711057,002130,0.04198092429139266,-0.03979678238780704
2026-05-09,EVENING_BUY,5,0.007253955088462227,-0.03576776800987447,-0.04227030314595729,-0.03205492267241272,-0.04227030314595729,688008,-0.28089416254061084,0.179340847481809,002130,0.07498861193962325,-0.04654141759180197
2026-05-10,EVENING_BUY,5,-0.009441618695311727,0.011880915248550034,0.021261274531942043,-0.045012503534449855,0.021261274531942043,300390,-0.28919486575451614,-0.09473175447075877,300458,-0.02484924082491069,-0.010402408978921529
2026-05-10,MORNING_BUY,5,0.024515132150886743,-0.006631342465796108,0.03424069215247753,0.02461206703530061,0.03424069215247753,688017,-0.20277543784140095,0.14910103061761815,603662,0.042982896666206916,0.03676113360323874
2026-05-11,EVENING_BUY,5,-0.0185440732684272,-0.026499343245159818,0.010032433858524556,-0.045820914429604453,0.010032433858524556,002436,-0.2654874084509491,0.013277006638503286,600905,0.00303051563409662,-0.012019230769230727
2026-05-11,MORNING_BUY,4,0.008383397649445484,-0.055587935723911554,,-0.039028857787734905,-0.039028857787734905,688017,-0.2579809253513329,0.2002973977695166,603728,-0.007982270771352828,0.05118973074514721
2026-05-12,EVENING_BUY,5,0.024617199838395255,0.015151592564698363,0.011325236561821902,-0.033428510110199816,0.011325236561821902,688766,-0.40750342949554985,0.06247962893318282,600905,0.0066131893679393094,-0.007194244604316613
2026-05-13,EVENING_BUY,5,-0.03850144004288401,-0.053959859534380566,-0.04989719273844776,-0.04394915861081272,-0.04989719273844776,002156,-0.1866010965263143,0.02333223792310224,600276,0.01016093488275227,-0.08789831722162544
2026-05-14,EVENING_BUY,5,0.09376276038650522,0.14671663506731003,0.17879242693899303,0.13611316871037638,0.17879242693899303,002491,-0.40950999999999993,-0.11805273833671404,600584,-0.15398380011319712,0.23071257595286299
2026-05-14,MORNING_BUY,4,0.031552072239561774,0.06929595911983617,,0.03541399675613843,0.03541399675613843,688766,-0.3578521698219751,-0.08167958840126144,688235,0.020713748099281615,0.009010452124464274
2026-05-15,EVENING_BUY,5,0.045908868161262315,0.06632651921397822,0.10506423272370191,0.09513608207983137,0.10506423272370191,002428,-0.4095099999999998,-0.03576173604960131,600276,0.035983514155281116,-0.06519725875162075
