date,symbol
2023-09-29,688183
2023-09-29,600183
2023-09-29,300620
2023-09-29,300308
2023-09-29,688498
2023-10-06,300502
2023-10-06,600183
2023-10-06,300476
2023-10-06,300620
2023-10-06,688498
2023-10-13,688183
2023-10-13,300394
2023-10-13,300476
2023-10-13,300502
2023-10-13,300308
2023-10-20,300502
2023-10-20,300308
2023-10-20,600183
2023-10-20,688498
2023-10-20,688183
2023-10-27,600183
2023-10-27,688183
2023-10-27,300502
2023-10-27,300308
2023-10-27,688498
2023-11-03,600183
2023-11-03,688498
2023-11-03,300308
2023-11-03,688183
2023-11-03,300620
2023-11-10,600183
2023-11-10,300394
2023-11-10,300502
2023-11-10,688498
2023-11-10,300476
2023-11-17,300620
2023-11-17,300476
2023-11-17,300502
2023-11-17,600183
2023-11-17,300308
2023-11-24,600183
2023-11-24,300620
2023-11-24,688498
2023-11-24,300476
2023-11-24,300502
2023-12-01,688498
2023-12-01,300620
2023-12-01,300308
2023-12-01,600183
2023-12-01,300502
2023-12-08,300476
2023-12-08,600183
2023-12-08,300502
2023-12-08,688498
2023-12-08,300308
2023-12-15,300620
2023-12-15,300394
2023-12-15,688183
2023-12-15,300308
2023-12-15,300476
2023-12-22,300620
2023-12-22,300502
2023-12-22,688498
2023-12-22,688183
2023-12-22,600183
2023-12-29,300620
2023-12-29,300308
2023-12-29,688183
2023-12-29,300394
2023-12-29,600183
2024-01-05,688498
2024-01-05,300394
2024-01-05,300502
2024-01-05,300308
2024-01-05,688183
2024-01-12,688183
2024-01-12,300308
2024-01-12,688498
2024-01-12,300502
2024-01-12,300476
2024-01-19,688183
2024-01-19,600183
2024-01-19,300394
2024-01-19,300620
2024-01-19,300308
2024-01-26,300620
2024-01-26,300502
2024-01-26,300308
2024-01-26,688498
2024-01-26,688183
2024-02-02,300394
2024-02-02,688498
2024-02-02,300620
2024-02-02,300476
2024-02-02,688183
2024-02-09,688183
2024-02-09,600183
2024-02-09,688498
2024-02-09,300620
2024-02-09,300308
2024-02-16,300394
2024-02-16,688498
2024-02-16,688183
2024-02-16,300476
2024-02-16,300502
2024-02-23,300620
2024-02-23,688183
2024-02-23,300502
2024-02-23,300394
2024-02-23,600183
2024-03-01,688183
2024-03-01,688498
2024-03-01,300502
2024-03-01,300394
2024-03-01,300476
2024-03-08,300476
2024-03-08,688183
2024-03-08,688498
2024-03-08,300394
2024-03-08,300308
2024-03-15,300620
2024-03-15,300394
2024-03-15,300308
2024-03-15,300476
2024-03-15,688498
2024-03-22,600183
2024-03-22,300620
2024-03-22,688498
2024-03-22,300502
2024-03-22,300394
2024-03-29,300308
2024-03-29,300394
2024-03-29,300620
2024-03-29,688498
2024-03-29,600183
2024-04-05,300620
2024-04-05,688498
2024-04-05,688183
2024-04-05,300394
2024-04-05,600183
2024-04-12,300394
2024-04-12,688183
2024-04-12,688498
2024-04-12,300620
2024-04-12,300476
2024-04-19,688498
2024-04-19,300476
2024-04-19,688183
2024-04-19,600183
2024-04-19,300394
2024-04-26,300308
2024-04-26,688183
2024-04-26,300620
2024-04-26,300502
2024-04-26,300394
2024-05-03,300476
2024-05-03,300394
2024-05-03,688498
2024-05-03,688183
2024-05-03,300620
2024-05-10,600183
2024-05-10,300308
2024-05-10,688183
2024-05-10,300620
2024-05-10,300476
2024-05-17,300476
2024-05-17,688183
2024-05-17,600183
2024-05-17,300620
2024-05-17,300308
2024-05-24,300308
2024-05-24,688498
2024-05-24,300620
2024-05-24,300394
2024-05-24,688183
2024-05-31,300620
2024-05-31,688498
2024-05-31,300308
2024-05-31,300476
2024-05-31,600183
2024-06-07,688183
2024-06-07,688498
2024-06-07,300476
2024-06-07,300394
2024-06-07,300308
2024-06-14,300502
2024-06-14,300476
2024-06-14,300620
2024-06-14,688498
2024-06-14,688183
2024-06-21,688498
2024-06-21,688183
2024-06-21,300308
2024-06-21,300394
2024-06-21,300620
2024-06-28,300620
2024-06-28,300394
2024-06-28,300502
2024-06-28,688498
2024-06-28,300476
2024-07-05,300502
2024-07-05,300308
2024-07-05,300620
2024-07-05,300394
2024-07-05,300476
2024-07-12,688498
2024-07-12,300476
2024-07-12,300620
2024-07-12,688183
2024-07-12,600183
2024-07-19,688183
2024-07-19,300476
2024-07-19,300394
2024-07-19,300620
2024-07-19,300502
2024-07-26,300308
2024-07-26,300394
2024-07-26,688498
2024-07-26,300620
2024-07-26,600183
2024-08-02,300394
2024-08-02,688183
2024-08-02,300308
2024-08-02,300476
2024-08-02,300620
2024-08-09,300394
2024-08-09,688498
2024-08-09,688183
2024-08-09,300620
2024-08-09,300476
2024-08-16,688498
2024-08-16,300620
2024-08-16,300308
2024-08-16,688183
2024-08-16,300394
2024-08-23,300502
2024-08-23,300308
2024-08-23,600183
2024-08-23,688183
2024-08-23,300476
2024-08-30,300394
2024-08-30,300476
2024-08-30,300308
2024-08-30,300502
2024-08-30,688183
2024-09-06,600183
2024-09-06,300308
2024-09-06,688183
2024-09-06,300620
2024-09-06,300476
2024-09-13,300620
