date,n,ic,rank_ic,da,up_cap,dn_cap
2025-10-31,15,0.009559832193498262,0.42142857142857143,0.5454545454545454,0.6666666666666666,0.5833333333333334
2025-11-07,15,0.11346397121855978,-0.1714285714285714,0.38461538461538464,1.0,0.3076923076923077
2025-11-14,15,0.30200193412483634,0.3571428571428571,0.7142857142857143,0.3333333333333333,0.8333333333333334
2025-11-21,15,0.26379999894136424,0.16428571428571426,0.6666666666666666,0.0,0.8461538461538461
2025-11-28,15,0.11376888258851081,0.07857142857142857,0.5,0.75,0.45454545454545453
2025-12-05,15,-0.06339109115500086,-0.07857142857142857,0.6153846153846154,0.0,0.7692307692307693
2025-12-12,15,-0.40364847433075385,-0.2821428571428571,0.45454545454545453,0.6666666666666666,0.4166666666666667
2025-12-19,15,0.003907637669865502,0.039285714285714285,0.1111111111111111,1.0,0.21428571428571427
2025-12-26,15,-0.11504302381381845,-0.2678571428571428,0.3,0.5,0.18181818181818182
2026-01-02,15,-0.2304255037846184,-0.15357142857142855,0.35714285714285715,1.0,0.0
2026-01-09,15,-0.27820536377268124,-0.38214285714285706,0.23076923076923078,1.0,0.08333333333333333
2026-01-16,15,0.10636600076307559,-0.035714285714285705,0.3076923076923077,0.0,0.2857142857142857
2026-01-23,15,-0.5997160887693461,-0.33571428571428563,0.2727272727272727,0.0,0.35714285714285715
2026-01-30,15,0.7637125887173882,0.6071428571428571,0.6363636363636364,0.5,0.6153846153846154
2026-02-06,15,-0.005085202054552776,0.09285714285714285,0.23076923076923078,0.0,0.2857142857142857
2026-02-13,15,-0.8292863956703824,-0.6392857142857141,0.21428571428571427,0.0,0.21428571428571427
2026-02-20,15,-0.7846554343715266,-0.7249999999999999,0.14285714285714285,0.0,0.14285714285714285
2026-02-27,15,-0.8020897262712838,-0.6928571428571427,0.16666666666666666,0.0,0.2857142857142857
2026-03-06,15,0.7016801033334681,0.6214285714285712,0.8571428571428571,1.0,0.7857142857142857
2026-03-13,15,-0.17186580877331478,-0.035714285714285705,0.6,0.0,0.6428571428571429
2026-03-20,15,0.3888926419811663,0.21428571428571427,0.75,0.0,0.7142857142857143
2026-03-27,15,0.03818651328514496,-0.03214285714285714,0.5333333333333333,0.5,0.5384615384615384
2026-04-03,15,-0.050129881697755216,-0.039285714285714285,0.5,0.0,0.5384615384615384
2026-04-10,15,0.6248158512092097,0.5357142857142856,0.7142857142857143,1.0,0.6428571428571429
2026-04-17,15,-0.177021808923207,-0.20357142857142854,0.5555555555555556,1.0,0.6428571428571429
2026-04-24,15,0.15586096566880026,0.0964285714285714,0.8,1.0,0.5714285714285714
2026-05-01,15,0.02748352563537993,-0.039285714285714285,0.4,0.4,0.4
2026-05-08,15,-0.548119920565512,-0.10357142857142855,0.5833333333333334,0.3333333333333333,0.5833333333333334
2026-05-15,15,-0.20381103707888368,-0.1928571428571428,0.7142857142857143,0.0,1.0
2026-05-22,15,0.0363176067586955,-0.05714285714285713,0.6153846153846154,0.0,0.9
2026-05-29,15,-0.005190810039861736,-0.010714285714285713,0.6,0.14285714285714285,0.75
2026-06-05,15,0.5318015902064606,0.4964285714285714,0.5,0.25,0.8571428571428571
2026-06-12,15,-0.4824554567037744,-0.2178571428571428,0.5454545454545454,0.6,0.2
2026-06-19,15,-0.07285135626941391,-0.07857142857142857,0.42857142857142855,0.16666666666666666,0.6666666666666666
2026-06-26,15,0.4336465394736103,0.5535714285714285,0.5714285714285714,0.5,0.5555555555555556
2026-07-03,15,0.16964308957993476,0.10357142857142855,0.7142857142857143,0.8571428571428571,0.625
