date,N,A_no_filter,B_drop_1,C_drop_2,D_drop_3,E_keep_top,most_bearish,most_bearish_pred,most_bearish_real,most_bullish,most_bullish_pred,most_bullish_real,ranked_detail
2026-07-15,8,0.05645855278272746,0.06660088016681043,0.0832751672120076,0.06863391268150476,0.0832751672120076,002156,-0.24001188475694002,-0.014537738905853304,000975,0.10552905140889601,0.034862397040354764,"[[""002156"", -0.24001188475694002, -0.014537738905853304], [""600276"", -0.05463734502377715, -0.033444842104372596], [""300164"", -0.028011526317367474, 0.1564814398645218], [""000968"", -0.01455330041090419, 0.0745613655946662], [""601899"", -0.002474924776234011, 0.14712011531451408], [""600988"", 0.0002366939704576687, 0.017794549600886445], [""002490"", 0.04988301984555399, 0.06883113585710232], [""000975"", 0.10552905140889601, 0.034862397040354764]]"
2026-07-16,6,-0.02042736483162842,-0.028967948220132222,-0.07280766967299199,-0.007915752629200338,-0.07280766967299199,002156,-0.18927090351639653,0.022275552110890606,603556,0.04196420746880425,-0.04154180748848746,"[[""002156"", -0.18927090351639653, 0.022275552110890606], [""603259"", -0.1683040829155389, 0.14639093759130684], [""688333"", -0.1328802137977143, -0.26748342080436693], [""600988"", -0.035348456970602626, 0.017794549600886445], [""002532"", 0.035816635272050146, 0.0], [""603556"", 0.04196420746880425, -0.04154180748848746]]"
2026-07-17,3,0.04615288570242789,,,,-0.02485381176923318,600428,-0.2090435794103508,0.10108959283949348,000968,0.0667613780859746,-0.02485381176923318,"[[""600428"", -0.2090435794103508, 0.10108959283949348], [""603893"", -0.05822036289932708, 0.06222287603702337], [""000968"", 0.0667613780859746, -0.02485381176923318]]"
2026-07-20,3,0.02438536005143066,,,,-0.0860303316098695,600428,-0.26487290184456025,0.10108959283949348,603556,0.05362938424519181,-0.0860303316098695,"[[""600428"", -0.26487290184456025, 0.10108959283949348], [""601899"", 0.018027349468796583, 0.058096818924668], [""603556"", 0.05362938424519181, -0.0860303316098695]]"
2026-07-21,8,0.037542304531830994,0.02846412048787921,0.0448360402231562,0.05322338286026,0.0448360402231562,600428,-0.2061476423883929,0.10108959283949348,603619,0.06595717754560648,0.1039754801691648,"[[""600428"", -0.2061476423883929, 0.10108959283949348], [""300164"", -0.1042000906808036, -0.06976739792378273], [""600863"", -0.05649018343016199, 0.0028993270376371783], [""601600"", -0.026061561950950107, 0.04730476012299589], [""601899"", -0.019115060340959666, 0.04349244021953891], [""600988"", 0.022605078868156436, 0.017794549600886445], [""603393"", 0.039162630362537865, 0.053549684188713975], [""603619"", 0.06595717754560648, 0.1039754801691648]]"
2026-07-22,8,0.017291551424952853,0.02506131283011053,0.012389932828546705,0.011309009474078757,0.012389932828546705,300164,-0.25045770387051514,-0.03709677841115089,600547,0.002572261504013129,0.0463678826063727,"[[""300164"", -0.25045770387051514, -0.03709677841115089], [""600428"", -0.20180559796184694, 0.10108959283949348], [""600988"", -0.12506355034126027, 0.017794549600886445], [""601899"", -0.08073271283451822, 0.005535064656889022], [""603993"", -0.07635295348529725, -0.04242425176540532], [""600863"", -0.015632232721612738, 0.012203954832182617], [""000975"", -0.014779051921295583, 0.034862397040354764], [""600547"", 0.002572261504013129, 0.0463678826063727]]"
2026-07-23,9,0.02059906153682192,0.010537745123987974,0.02070454915917622,0.02118954908555785,0.02070454915917622,600428,-0.19516372910050417,0.10108959283949348,600547,0.11947355263429693,0.0463678826063727,"[[""600428"", -0.19516372910050417, 0.10108959283949348], [""300164"", -0.16532110270736122, -0.06062988312232975], [""600988"", -0.06957392038035382, 0.017794549600886445], [""601899"", -0.0695716825601771, 0.03812227474942609], [""603893"", -0.0460289215373102, -0.09406329049351891], [""600863"", -0.040687878552113976, -0.00022895967016201002], [""603228"", -0.020340364666236455, 0.03296390715206443], [""603619"", 0.01884355126516235, 0.1039754801691648], [""600547"", 0.11947355263429693, 0.0463678826063727]]"
2026-07-24,9,0.017227791307695917,0.007292527772838647,-0.006107052950969186,0.009763995012458301,-0.006107052950969186,300164,-0.19831876579041852,0.09670989958655407,002532,0.019737319946289134,0.029365069393428422,"[[""300164"", -0.19831876579041852, 0.09670989958655407], [""600428"", -0.17674149878633805, 0.10108959283949348], [""000977"", -0.1678564563304511, -0.1013333407315341], [""002353"", -0.09962924954774677, -0.06050153251222912], [""300191"", -0.09045306616203164, 0.08705269826153383], [""600988"", -0.03827133032353691, 0.017794549600886445], [""601600"", 0.0049679521786965, 0.0053021751211650425], [""603993"", 0.016739536734188265, -0.020428989790034824], [""002532"", 0.019737319946289134, 0.029365069393428422]]"
2026-07-27,3,0.009319881458201285,,,,0.08307691720815802,603893,-0.10135797623100629,-0.10298577107569551,000968,0.08219501318066547,0.08307691720815802,"[[""603893"", -0.10135797623100629, -0.10298577107569551], [""600362"", 0.03973750714902513, 0.047868498242141344], [""000968"", 0.08219501318066547, 0.08307691720815802]]"
2026-07-28,8,0.048237840508348326,0.041822351918746566,0.05467510192316707,0.045188761116603325,0.05467510192316707,600428,-0.22386429933388197,0.09314626063556064,002490,0.09754362388823745,-0.0026560398896752213,"[[""600428"", -0.22386429933388197, 0.09314626063556064], [""300164"", -0.11017713449709299, -0.035294148107776424], [""603228"", -0.06704238895821524, 0.10210680595598576], [""601179"", 0.0047845501349939035, 0.08836858735044628], [""002028"", 0.06988397855607298, -0.0020461423211335372], [""002326"", 0.08379491100447445, 0.04121476176088823], [""600362"", 0.09169087034554946, 0.10106263868249088], [""002490"", 0.09754362388823745, -0.0026560398896752213]]"
2026-07-29,5,0.06464566987005357,0.05539119600872899,0.04916071431778546,,0.04916071431778546,601872,-0.05109487478538399,0.10166356531535192,601727,0.08854804617041423,0.0020725418066045442,"[[""601872"", -0.05109487478538399, 0.10166356531535192], [""600362"", 0.018850444495469354, 0.0740826410815596], [""600489"", 0.03963186900990756, 0.1361990521283618], [""002490"", 0.08509633498049718, 0.009210549018390024], [""601727"", 0.08854804617041423, 0.0020725418066045442]]"
2026-07-30,10,0.07870866823230124,0.07223048400667292,0.08036586001901325,0.053571772775793614,0.08036586001901325,600428,-0.21134999106707686,0.13701232626295612,601727,0.12103956228138957,-0.007267469462669651,"[[""600428"", -0.21134999106707686, 0.13701232626295612], [""603399"", -0.10467336834359076, 0.007147475907950396], [""300191"", -0.08234498808332025, 0.2679244707215507], [""300671"", -0.06294158342939726, 0.06214685684286825], [""600988"", -0.017870217714060832, 0.11941494310317946], [""603556"", -0.007754407554824927, -0.04153845860407901], [""603393"", 0.017952616798357468, -0.007395894515678569], [""600362"", 0.024523039366546096, 0.1492814680695509], [""600547"", 0.07808848415828007, 0.10036096399738392], [""601727"", 0.12103956228138957, -0.007267469462669651]]"
2026-07-31,7,0.04105107524684123,0.05329708658917213,0.05471478915078278,0.07706291776605709,0.05471478915078278,600900,-0.07078721671630606,-0.03242499280714417,600547,0.1345477814370013,0.12392854690551736,"[[""600900"", -0.07078721671630606, -0.03242499280714417], [""600026"", -0.04039775258207301, 0.04620857378111887], [""603556"", -0.019832963182376262, -0.03467772531031443], [""000975"", -0.018812220355605702, 0.17489172906765438], [""002595"", -0.008684315504174256, 0.025236011888686738], [""601727"", 0.1130636863008625, -0.015804616797630122], [""600547"", 0.1345477814370013, 0.12392854690551736]]"
2026-08-03,10,0.08486599583533341,0.09351238968470936,0.11308674578934624,0.133530233948039,0.11308674578934624,600428,-0.19608515264704363,0.007048451190949878,002716,0.12166155630083231,0.1927860942896853,"[[""600428"", -0.19608515264704363, 0.007048451190949878], [""688111"", -0.08835710145657893, -0.06308245915238575], [""601872"", -0.07111539185502158, -0.030017671321503014], [""600988"", -0.055683079050548034, 0.045938243286805625], [""688266"", -0.031541760774369876, 0.11470861887983697], [""000603"", 0.0016754292774350255, 0.32884612450232864], [""300750"", 0.016099663880980275, -0.008038888956423795], [""000975"", 0.021240909424362853, 0.1385964891733702], [""601069"", 0.052177827593201, 0.12187495646067004], [""002716"", 0.12166155630083231, 0.1927860942896853]]"
2026-08-04,7,0.06502672169598046,0.06895603859532366,0.06179700198404685,0.08606105712234732,0.06179700198404685,600428,-0.2412049123866159,0.04145082029992131,600547,0.07921666549615014,0.132530162431735,"[[""600428"", -0.2412049123866159, 0.04145082029992131], [""603259"", -0.19470850910356485, 0.1047512216517077], [""688111"", -0.08555747859355067, -0.03525921856915504], [""002517"", -0.06018013846373782, -0.0299401806903854], [""000603"", -0.0596378254440596, 0.27538919315192545], [""600406"", -0.016087142094927898, -0.033734946403885746], [""600547"", 0.07921666549615014, 0.132530162431735]]"
2026-08-05,10,0.012344346722742105,0.0017934620466067974,-0.0024178329157975714,-0.004471183730860084,-0.0024178329157975714,000636,-0.30493615490342507,0.10730230880795988,600547,0.02863964021514742,-0.03373732929839246,"[[""000636"", -0.30493615490342507, 0.10730230880795988], [""300408"", -0.27170980608084805, 0.03548382174584175], [""600428"", -0.2553503616996434, 0.011955622789640019], [""603259"", -0.23427734374999998, 0.0907807676517789], [""000960"", -0.10492002655187427, -0.04147585495569461], [""000603"", -0.0954723979760197, 0.004678655794026376], [""000975"", -0.03177376328963666, -0.007451001335592844], [""002595"", -0.027871950998243467, -0.03452833643499409], [""001337"", -0.02415239207596387, -0.009565187537151854], [""600547"", 0.02863964021514742, -0.03373732929839246]]"
2026-08-06,9,,,,,,000636,-0.26843597370218397,,603619,0.02368166443496955,,"[[""000636"", -0.26843597370218397, NaN], [""603259"", -0.2180281580802026, NaN], [""000603"", -0.2044786447153305, NaN], [""000975"", -0.06699981449723524, NaN], [""002155"", -0.054083321724923805, NaN], [""601872"", -0.04874240525350204, NaN], [""600489"", -0.036252968627492166, NaN], [""001337"", -0.023028485803068044, NaN], [""603619"", 0.02368166443496955, NaN]]"
