date,current_phase,stable_phase,previous_phase,big_up_candle,big_down_candle,candle_pct,future_5d_return
2026-04-22,RANGE,RANGE,RANGE,False,False,-0.0006,-0.03668532586965205
2026-04-23,RANGE,RANGE,RANGE,False,False,-0.0104,-0.022424242424242374
2026-04-24,RANGE,RANGE,RANGE,False,False,-0.0075,-0.0035619784245878427
2026-04-27,RANGE,RANGE,RANGE,False,False,0.0072,0.0012124886329191124
2026-04-28,RANGE,RANGE,RANGE,False,False,-0.0167,0.015207562679819304
2026-04-29,RANGE,RANGE,RANGE,False,False,-0.0098,0.014216042336826676
2026-04-30,RANGE,RANGE,RANGE,False,False,0.0043,0.013225873114279637
2026-05-06,RANGE,RANGE,RANGE,False,False,0.0117,0.0013277499744663364
2026-05-07,RANGE,RANGE,RANGE,False,False,0.0121,-0.011504692703602862
2026-05-08,RANGE,RANGE,RANGE,False,False,-0.0029,-0.0329959514170041
2026-05-11,RANGE,RANGE,RANGE,False,False,-0.0107,-0.026703499079189612
2026-05-12,RANGE,RANGE,RANGE,False,False,0.0033,-0.029675708749744914
2026-05-13,RANGE,RANGE,RANGE,False,False,-0.0002,-0.04457364341085265
2026-05-14,RANGE,RANGE,RANGE,False,False,-0.0009,-0.03522205206738138
2026-05-15,RANGE,RANGE,RANGE,False,False,-0.0246,-0.009734142767427253
2026-05-18,RANGE,RANGE,RANGE,False,False,-0.0043,-0.0001051193104172654
2026-05-19,RANGE,RANGE,RANGE,False,False,0.0002,-0.006410930110352069
2026-05-20,WAVE_DOWN,RANGE,RANGE,False,False,-0.0156,-0.002348670865805513
2026-05-21,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0089,-0.03365079365079361
2026-05-22,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0012,-0.006764612620230426
2026-05-25,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0054,-0.01766190075693871
2026-05-26,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0061,-0.004654114660461231
2026-05-27,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0115,-0.006848582129481012
2026-05-28,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0228,0.017301795882610542
2026-05-29,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.029,-0.01543045652867932
2026-06-01,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0056,-0.04184503424657535
2026-06-02,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0071,-0.04303931987247602
2026-06-03,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0137,-0.05872212046115719
2026-06-04,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.001,-0.0843918191603874
2026-06-05,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0041,-0.06409424989191526
2026-06-08,STRONG_DOWN,WAVE_DOWN,WAVE_DOWN,False,True,-0.0323,-0.0027923601027586933
2026-06-09,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0058,-0.006218767351471508
2026-06-10,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0299,0.025297619047619055
2026-06-11,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0263,0.04726075711262629
2026-06-12,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.018,0.006582746275551288
2026-06-15,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,True,False,0.0311,-0.04379480286738351
2026-06-16,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0024,-0.048497038775282074
2026-06-17,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0009,-0.0748018309701909
2026-06-18,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0055,-0.0581499775482711
2026-06-22,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0216,-0.030633318035796178
2026-06-23,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0205,-0.01862480965210269
2026-06-24,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0026,-0.02865531415149733
2026-06-25,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0268,0.022686134910100013
2026-06-26,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0124,0.03361144219308701
2026-06-29,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.007,0.02154101077050543
2026-06-30,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0084,0.02613989018858909
2026-07-01,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0128,0.03844758795792523
2026-07-02,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0247,0.00814159292035408
2026-07-03,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0232,-0.015106088560885633
2026-07-06,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0047,-0.02456262310276906
2026-07-07,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0039,-0.02605560079097362
2026-07-08,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0009,-0.02561415764349757
2026-07-09,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0052,-0.02118445692883906
2026-07-10,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0004,-0.026928931038520128
2026-07-13,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0143,-0.011996674189333752
2026-07-14,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0055,0.011345993072972727
2026-07-15,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0005,0.022822320468395354
