date,K,n_pool,hit_long,hit_short,hit_ls,pred_top_mean_real_ret,real_top_mean_real_ret,pool_mean_real_ret
2025-09-12,10,60,0.1,0.3,0.2,-9.92923844941207e-05,0.10848989773479259,0.009017111779866475
2025-09-12,20,60,0.2,0.35,0.275,-0.004225595186438391,0.0746531853098262,0.009017111779866475
2025-09-19,3,60,0.3333333333333333,0.0,0.16666666666666666,0.049604933717770784,0.20644074249797092,0.03231327221766741
2025-09-19,5,60,0.2,0.0,0.1,0.0408311527493753,0.17708001660095207,0.03231327221766741
2025-09-19,10,60,0.1,0.2,0.15,0.030529754143449515,0.14800974737607792,0.03231327221766741
2025-09-19,20,60,0.2,0.2,0.2,0.016059739947819666,0.11314217474962977,0.03231327221766741
2025-09-26,3,60,0.0,0.6666666666666666,0.3333333333333333,0.06673270473987832,0.33508119179306006,0.022734225342499397
2025-09-26,5,60,0.0,0.4,0.2,0.06211279301888175,0.27814711720125074,0.022734225342499397
2025-09-26,10,60,0.1,0.8,0.45,0.05616284764639804,0.20366564840914428,0.022734225342499397
2025-09-26,20,60,0.5,0.55,0.525,0.042936700968020436,0.13429909654943165,0.022734225342499397
2025-10-03,3,60,0.0,0.3333333333333333,0.16666666666666666,-0.03557528587037092,0.14210298720653966,-0.025574303234472816
2025-10-03,5,60,0.0,0.4,0.2,-0.03270345940394683,0.13218885834347033,-0.025574303234472816
2025-10-03,10,60,0.0,0.3,0.15,-0.01877172883639383,0.09741276069774933,-0.025574303234472816
2025-10-03,20,60,0.4,0.5,0.45,-0.018514926573623504,0.06308570985104285,-0.025574303234472816
2025-10-10,3,60,0.3333333333333333,0.0,0.16666666666666666,-0.05496456068622994,0.08730652237135383,-0.04662925313716814
2025-10-10,5,60,0.2,0.2,0.2,-0.060921669335439896,0.0745904849403082,-0.04662925313716814
2025-10-10,10,60,0.3,0.2,0.25,-0.03567535961842351,0.04884017185349514,-0.04662925313716814
2025-10-10,20,60,0.45,0.4,0.425,-0.01959761555886045,0.023211813875051363,-0.04662925313716814
2025-10-17,3,60,0.0,0.3333333333333333,0.16666666666666666,-8.067829449694604e-05,0.14559720952343294,-0.0036598449976349757
2025-10-17,5,60,0.0,0.4,0.2,-0.012407360105198028,0.1256615553862379,-0.0036598449976349757
2025-10-17,10,60,0.1,0.7,0.4,-0.0005292213183867078,0.09298154803462921,-0.0036598449976349757
2025-10-17,20,60,0.3,0.65,0.475,-0.0017989670772316836,0.057425259151899374,-0.0036598449976349757
2025-10-24,3,60,0.0,0.0,0.0,-0.00480900225104038,0.2562254576990768,0.04913601936963571
2025-10-24,5,60,0.0,0.0,0.0,-0.001074142731708938,0.2298345279264508,0.04913601936963571
2025-10-24,10,60,0.0,0.0,0.0,0.006372437557324573,0.1877255779697889,0.04913601936963571
2025-10-24,20,60,0.1,0.25,0.175,0.02331433486498813,0.13788974876467702,0.04913601936963571
2025-10-31,3,60,0.0,0.0,0.0,-0.023867487807008314,0.1622504950624221,-0.004544547827169098
2025-10-31,5,60,0.0,0.0,0.0,-0.0009359897602283729,0.13408167126183113,-0.004544547827169098
2025-10-31,10,60,0.2,0.4,0.3,0.0017174081399568774,0.09588233251706288,-0.004544547827169098
2025-10-31,20,60,0.5,0.65,0.575,0.009218433824321587,0.058477992699187444,-0.004544547827169098
2025-11-07,3,60,0.0,0.0,0.0,-0.024707757937719104,0.13533116076330223,-0.011966692066280251
2025-11-07,5,60,0.0,0.4,0.2,-0.0243022385477079,0.11213660059967463,-0.011966692066280251
2025-11-07,10,60,0.1,0.4,0.25,-0.006978896383407251,0.08075449270718849,-0.011966692066280251
2025-11-07,20,60,0.35,0.5,0.425,-0.00029674274047098993,0.05534454327850232,-0.011966692066280251
2025-11-14,3,60,0.0,0.0,0.0,-0.02414674346173325,0.07299251834352989,-0.03568303355230917
2025-11-14,5,60,0.2,0.2,0.2,-0.015480527461091298,0.05384467645598021,-0.03568303355230917
2025-11-14,10,60,0.2,0.5,0.35,-0.02199143050532095,0.02999819545606326,-0.03568303355230917
2025-11-14,20,60,0.4,0.5,0.45,-0.03261934388490731,0.007385080870938948,-0.03568303355230917
2025-11-21,3,60,0.0,0.3333333333333333,0.16666666666666666,-0.012570894671748212,0.10089643448994672,-0.0010796366765116288
2025-11-21,5,60,0.0,0.2,0.1,0.00015674227997344303,0.08368468039745917,-0.0010796366765116288
2025-11-21,10,60,0.0,0.1,0.05,-0.009024613621764177,0.06437503230755821,-0.0010796366765116288
2025-11-21,20,60,0.3,0.2,0.25,0.00018703809756464017,0.04639224451031839,-0.0010796366765116288
2025-11-28,3,60,0.0,0.0,0.0,-0.009567868889829967,0.20707395167698683,0.02200810758200238
2025-11-28,5,60,0.0,0.0,0.0,0.008343484268488322,0.16382680580638082,0.02200810758200238
2025-11-28,10,60,0.0,0.2,0.1,0.014834963581139926,0.11574907877535774,0.02200810758200238
2025-11-28,20,60,0.35,0.35,0.35,0.018967801716005806,0.08057515865957539,0.02200810758200238
2025-12-05,3,60,0.0,0.0,0.0,-0.019587413208951743,0.15967068560340011,0.015435917923985852
2025-12-05,5,60,0.0,0.0,0.0,-0.024558556913302488,0.14568783299896473,0.015435917923985852
2025-12-05,10,60,0.0,0.1,0.05,-0.014033023317371407,0.11631337335939147,0.015435917923985852
2025-12-05,20,60,0.2,0.25,0.225,-0.0018896721263903127,0.07454662756560129,0.015435917923985852
2025-12-12,3,60,0.0,0.0,0.0,0.00401973830948299,0.10526021972482276,0.0013002863446568886
2025-12-12,5,60,0.0,0.0,0.0,0.0006326210376449648,0.09736468609434934,0.0013002863446568886
2025-12-12,10,60,0.1,0.3,0.2,0.0021078001908849788,0.07715479885453272,0.0013002863446568886
2025-12-12,20,60,0.45,0.35,0.4,0.008958240233716174,0.049095462112050015,0.0013002863446568886
2025-12-19,3,60,0.0,0.0,0.0,0.023652584896702484,0.19044064671220515,0.04195897332089603
2025-12-19,5,60,0.0,0.0,0.0,0.024772426968662397,0.16011235407941554,0.04195897332089603
2025-12-19,10,60,0.1,0.0,0.05,0.03434984841397293,0.11621064455300614,0.04195897332089603
2025-12-19,20,60,0.25,0.25,0.25,0.027263546860495914,0.08659452240398884,0.04195897332089603
2025-12-26,3,60,0.0,0.0,0.0,0.028783502932714256,0.26235745718191034,0.038014274106289894
2025-12-26,5,60,0.0,0.2,0.1,0.02658864613768359,0.21483669653136847,0.038014274106289894
2025-12-26,10,60,0.1,0.1,0.1,0.03646636534803109,0.15755705291189323,0.038014274106289894
2025-12-26,20,60,0.3,0.35,0.325,0.029987500737784046,0.10824461568013324,0.038014274106289894
2026-01-02,3,60,0.0,0.0,0.0,0.0878106396414493,0.2556950346130646,0.06517361757853385
2026-01-02,5,60,0.0,0.0,0.0,0.07860739375487849,0.22893240914106788,0.06517361757853385
2026-01-02,10,60,0.2,0.2,0.2,0.07904497726604494,0.1910897660208078,0.06517361757853385
2026-01-02,20,60,0.45,0.45,0.45,0.08031206460235968,0.14432334677177727,0.06517361757853385
2026-01-09,3,60,0.0,0.0,0.0,-0.007527397719138018,0.32774222189036495,0.0573336368055211
2026-01-09,5,60,0.0,0.0,0.0,0.0016549941406997838,0.2775831386083148,0.0573336368055211
2026-01-09,10,60,0.1,0.1,0.1,0.010619194597502412,0.2131520606284437,0.0573336368055211
2026-01-09,20,60,0.15,0.2,0.175,0.016446296420270325,0.15729432889078937,0.0573336368055211
2026-01-16,3,60,0.0,0.0,0.0,0.01837568073271319,0.21347154605788518,0.019134023130151032
2026-01-16,5,60,0.0,0.4,0.2,0.0009288863294036886,0.17816360924628522,0.019134023130151032
2026-01-16,10,60,0.0,0.3,0.15,-0.0198413212556389,0.13930662192757517,0.019134023130151032
2026-01-16,20,60,0.35,0.4,0.375,0.01753937422945014,0.1005704716577545,0.019134023130151032
2026-01-23,3,60,0.0,0.0,0.0,-0.03161492710017525,0.5639608200116893,0.028040157054067923
2026-01-23,5,60,0.0,0.0,0.0,-0.05151221423459429,0.45691363651653666,0.028040157054067923
2026-01-23,10,60,0.0,0.3,0.15,-0.040327829940579187,0.29957006418533355,0.028040157054067923
2026-01-23,20,60,0.15,0.3,0.225,-0.011468533279130739,0.1758876266227068,0.028040157054067923
2026-01-30,3,60,0.0,0.3333333333333333,0.16666666666666666,-0.0005837318035932793,0.19660339952699646,-0.032474302108956875
2026-01-30,5,60,0.0,0.6,0.3,0.00047335982459424387,0.15201507228324523,-0.032474302108956875
2026-01-30,10,60,0.0,0.6,0.3,-0.024887252609727684,0.0962883989971443,-0.032474302108956875
2026-01-30,20,60,0.4,0.6,0.5,-0.007178431787205297,0.05060196046358476,-0.032474302108956875
2026-02-06,3,60,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05857042900077103,0.23112529439958415,0.040388768067173494
2026-02-06,5,60,0.2,0.6,0.4,0.03996299950596836,0.2042304768335906,0.040388768067173494
2026-02-06,10,60,0.1,0.5,0.3,0.03296050762994018,0.16418326904288427,0.040388768067173494
2026-02-06,20,60,0.3,0.45,0.375,0.0427102982132447,0.1136760706884278,0.040388768067173494
2026-02-13,3,60,0.0,0.0,0.0,-0.006446911872004042,0.27878853643110696,0.03945549115063794
